//  PatLen	   TextLen	  Naive-RT	    KMP-RT
    100000	    600000	      7530	      4814
        10	    610000	      6457	      4899
       100	    610000	      6324	      4853
      1000	    610000	      5890	      4887
     10000	    610000	      6772	      4341
    100000	    610000	      7376	      3661
        10	    620000	      6480	      5489
       100	    620000	      6079	      4853
      1000	    620000	      6380	      4817
     10000	    620000	      6126	      4377
    100000	    620000	      7371	      3583
        10	    630000	      6343	      4839
       100	    630000	      6225	      4940
      1000	    630000	      6879	      4829
     10000	    630000	      6595	      5086
    100000	    630000	      7385	      4912
        10	    640000	      6530	      5233
       100	    640000	      6698	      5010
      1000	    640000	      6215	      5205
     10000	    640000	      6690	      4456
    100000	    640000	      7821	      4856
        10	    650000	      6804	      5211
       100	    650000	      6270	      5691
      1000	    650000	      6321	      5415
     10000	    650000	      6834	      4598
    100000	    650000	      7738	      5083
        10	    660000	      6932	      5185
       100	    660000	      6590	      5393
      1000	    660000	      6557	      5006
     10000	    660000	      6606	      4960
    100000	    660000	      7809	      3406
        10	    670000	      7578	      5388
       100	    670000	      6991	      5481
      1000	    670000	      6693	      5584
     10000	    670000	      7125	      5249
    100000	    670000	      7760	      5202
        10	    680000	      7073	      5594
       100	    680000	      6722	      5308
      1000	    680000	      6890	      6071
     10000	    680000	      7422	      4791
    100000	    680000	      8122	      3940
        10	    690000	      7529	      5680
       100	    690000	      7764	      5768
      1000	    690000	      7106	      5835
     10000	    690000	      7091	      4909
    100000	    690000	      8364	      3607
        10	    700000	      7284	      5740
       100	    700000	      6861	      6270
      1000	    700000	      6792	      5372
     10000	    700000	      6893	      5252
    100000	    700000	      8130	      3608
        10	    710000	      7778	      5559
       100	    710000	      7311	      5548
      1000	    710000	      7338	      5604
     10000	    710000	      7714	      5258
    100000	    710000	      8450	      4059
        10	    720000	      7137	      5915
       100	    720000	      7188	      5613
      1000	    720000	      7390	      5582
     10000	    720000	      7190	      5035
    100000	    720000	      9296	      3978
        10	    730000	      7830	      6395
       100	    730000	      7326	      5777
      1000	    730000	      7100	      5996
     10000	    730000	      7832	      5092
    100000	    730000	      8546	      5579
        10	    740000	      7311	      5784
       100	    740000	      7746	      6546
      1000	    740000	      7341	      5902
     10000	    740000	      7357	      5205
    100000	    740000	      9239	      3962
        10	    750000	      7643	      6246
       100	    750000	      7940	      6162
      1000	    750000	      7408	      5953
     10000	    750000	      8630	      5782
    100000	    750000	      9110	      3960
        10	    760000	      7538	      6471
       100	    760000	      7607	      6361
      1000	    760000	      7914	      5915
     10000	    760000	      7641	      5717
    100000	    760000	      9229	      3793
        10	    770000	      8576	      6491
       100	    770000	      7953	      5962
      1000	    770000	      7818	      6360
     10000	    770000	      7711	      5564
    100000	    770000	      9264	      3923
        10	    780000	      7949	      6520
       100	    780000	      7809	      6545
      1000	    780000	      7946	      6634
     10000	    780000	      8117	      5956
    100000	    780000	      9280	      5761
        10	    790000	      7855	      6168
       100	    790000	      8223	      6295
      1000	    790000	      8958	      6104
     10000	    790000	      7900	      5588
    100000	    790000	      9326	      4417
        10	    800000	      8462	      6250
       100	    800000	      8069	      6138
      1000	    800000	      8298	      6547
     10000	    800000	      7997	      6020
    100000	    800000	      9458	      5862
        10	    810000	      8281	      6360
       100	    810000	      8143	      6959
      1000	    810000	      8045	      6919
     10000	    810000	      8131	      5674
    100000	    810000	     10109	      4391
        10	    820000	      9979	      6830
       100	    820000	      8222	      7012
      1000	    820000	      8266	      6375
     10000	    820000	      8117	      5857
    100000	    820000	     10051	      4238
        10	    830000	      8808	      7015
       100	    830000	      9182	      7129
      1000	    830000	      8316	      6483
     10000	    830000	      8643	      6218
    100000	    830000	      9901	      4067
        10	    840000	     11575	      6849
       100	    840000	      8733	      7014
      1000	    840000	      8749	      6540
     10000	    840000	      8574	      6381
    100000	    840000	     10506	      4420
        10	    850000	      8907	      6763
       100	    850000	      9673	      6790
      1000	    850000	      9175	      6592
     10000	    850000	      8683	      6348
    100000	    850000	     10339	      4467
        10	    860000	      9174	      7323
       100	    860000	      9642	      7360
      1000	    860000	      8993	      7170
     10000	    860000	      8622	      6444
    100000	    860000	     10770	      6172
        10	    870000	      9518	      6872
       100	    870000	      8711	      7241
      1000	    870000	      8840	      7528
     10000	    870000	      9252	      6020
    100000	    870000	     10556	      6466
        10	    880000	      9346	      6897
       100	    880000	      8726	      7660
      1000	    880000	      9329	      6942
     10000	    880000	      9288	      6201
    100000	    880000	     10256	      4279
        10	    890000	      9745	      7487
       100	    890000	     10105	      6996
      1000	    890000	      8722	      6853
     10000	    890000	      9460	      6451
    100000	    890000	     11023	      4202
        10	    900000	      9763	      7698
       100	    900000	      8937	      7516
      1000	    900000	      8804	      7204
     10000	    900000	      9058	      6655
    100000	    900000	     11131	      4412
        10	    910000	      9484	      7233
       100	    910000	      9002	      7184
      1000	    910000	      9085	      7491
     10000	    910000	     10039	      6416
    100000	    910000	     10703	      4632
        10	    920000	      9303	      7957
       100	    920000	      9167	      7831
      1000	    920000	      9517	      7269
     10000	    920000	      9131	      6356
    100000	    920000	     11080	      4713
        10	    930000	      9724	      7860
       100	    930000	      9668	      7387
      1000	    930000	      9367	      7212
     10000	    930000	     10492	      7335
    100000	    930000	     11070	      6137
        10	    940000	      9799	      7418
       100	    940000	      9378	      7715
      1000	    940000	      9096	      7437
     10000	    940000	      9652	      6409
    100000	    940000	     11655	      6513
        10	    950000	      9670	      7525
       100	    950000	     10178	      7477
      1000	    950000	      9317	      7464
     10000	    950000	      9474	      6804
    100000	    950000	     11342	      6226
        10	    960000	     10233	      7623
       100	    960000	      9567	      8222
      1000	    960000	      9560	      7889
     10000	    960000	      9759	      6692
    100000	    960000	     11445	      4584
        10	    970000	      9658	      8357
       100	    970000	      9641	      7891
      1000	    970000	     10415	      7642
     10000	    970000	     10192	      7238
    100000	    970000	     11365	      5009
        10	    980000	     10044	      7970
       100	    980000	      9610	      8046
      1000	    980000	      9625	      8113
     10000	    980000	     11153	      7329
    100000	    980000	     12256	      4873
        10	    990000	     10767	      8056
       100	    990000	      9952	      7929
      1000	    990000	      9891	      7838
     10000	    990000	     10227	      7047
    100000	    990000	     12434	      4886
        10	   1000000	     10741	      7988
       100	   1000000	      9884	      8123
      1000	   1000000	      9830	      7814
     10000	   1000000	     10699	      7177
    100000	   1000000	     12817	      4843
